StartStopId,EndStopId,Distance,Duration
4238299925,1099501784,3.1935,8.24
4942249835,1099501784,7.1333,19.9166666666667
2429103548,1404296015,5.6692,21.1866666666667
2429618960,1404296015,1.4913,4.84333333333333
2430584977,1404296015,5.3801,19.7033333333333
2431596048,1404296015,4.2534,12.4333333333333
2429619100,1404296015,3.9999,11.9966666666667
2429618973,1404296015,1.6906,5.8
1404296015,1404296015,0,0
2430584982,1404296015,9.2192,24.3933333333333
2428628185,1404296015,7.465,24.4
2429103545,1404296015,6.6756,20.2066666666667
2429618678,1404296015,1.4886,6.03
2429619129,1404296015,2.5772,8.68
2429619178,1404296015,4.4512,12.9666666666667
2401194618,1404296015,8.7904,22.7366666666667
2429618964,1404296015,1.8304,5.58666666666667
2430584956,1404296015,2.6565,9.10666666666667
2429103554,1404296015,4.1171,14.34
